Gas,Brake,steerLeft,steerRight,FrontSensor,frontLeftSensor,LeftSensor,BackLeftSensor,BackSensor,BackRightSensor,RightSensor,frontRightSensor
0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
0,0,0,0,966.000000,901.000000,0.000000,0.000000,0.000000,119.209160,66.150459,29.958092
